2018-04-04 14:44:55,343 INFO [Logger.py:49]  testing
2018-04-04 14:58:35,968 INFO [Logger.py:47]  获取参数：['<SqlQuery><Conditions><SC><SLT>0</SLT><PN>A.CLASS_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC><SC><SLT>0</SLT><PN>C.MAN_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC></Conditions><OrderString>ORDER BY A.CREATE_TIME DESC</OrderString><IsPageResult>1</IsPageResult><KeyId>A.OBJ_ID</KeyId><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy>ORDER BY A.CREATE_TIME DESC</OrderBy></PageInfo><QueryTable><TableName>BMP_OBJECT</TableName><AliasName>A</AliasName><JoinTables><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_ATTRIBCLASS</TableName><AliasName>B</AliasName></QueryTable><JoinCondition>A.CLASS_ID=B.CLASS_ID</JoinCondition></JoinTable><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName>C</AliasName></QueryTable><JoinCondition>A.NUM_VAL5=C.MAN_ID</JoinCondition></JoinTable></JoinTables></QueryTable><ResultFields>A.*,B.*,C.MAN_ID,C.MAN_NAME,C.FIELD_1 AS MODEL,(select group_concat(e.group_name) from BMP_OBJ2GROUP D left join bmp_objgroup E on D.GROUP_ID = E.GROUP_ID where D.OBJ_ID = a.obj_ID and e.group_type=1 ) as GROUP_NAME</ResultFields></SqlQuery>']
2018-04-04 16:13:32,966 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 16:13:32,969 INFO [Logger.py:47]  正则模型：["<<Element 'test1' at 0x00000197085F3408>>(.*?)</<Element 'test1' at 0x00000197085F3408>>", "<<Element 'node2' at 0x0000019708656228>>(.*?)</<Element 'node2' at 0x0000019708656228>>", "<<Element 'node3' at 0x0000019708656688>>(.*?)</<Element 'node3' at 0x0000019708656688>>"]
2018-04-04 16:13:32,970 INFO [Logger.py:47]  获取参数：[]
2018-04-04 16:14:43,404 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 16:14:43,406 INFO [Logger.py:47]  正则模型：['<test1>(.*?)</test1>', '<node2>(.*?)</node2>', '<node3>(.*?)</node3>']
2018-04-04 16:14:43,407 INFO [Logger.py:47]  获取参数：['<SqlQuery><Conditions><SC><SLT>0</SLT><PN>A.CLASS_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC><SC><SLT>0</SLT><PN>C.MAN_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC></Conditions><OrderString>ORDER BY A.CREATE_TIME DESC</OrderString><IsPageResult>1</IsPageResult><KeyId>A.OBJ_ID</KeyId><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy>ORDER BY A.CREATE_TIME DESC</OrderBy></PageInfo><QueryTable><TableName>BMP_OBJECT</TableName><AliasName>A</AliasName><JoinTables><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_ATTRIBCLASS</TableName><AliasName>B</AliasName></QueryTable><JoinCondition>A.CLASS_ID=B.CLASS_ID</JoinCondition></JoinTable><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName>C</AliasName></QueryTable><JoinCondition>A.NUM_VAL5=C.MAN_ID</JoinCondition></JoinTable></JoinTables></QueryTable><ResultFields>A.*,B.*,C.MAN_ID,C.MAN_NAME,C.FIELD_1 AS MODEL,(select group_concat(e.group_name) from BMP_OBJ2GROUP D left join bmp_objgroup E on D.GROUP_ID = E.GROUP_ID where D.OBJ_ID = a.obj_ID and e.group_type=1 ) as GROUP_NAME</ResultFields></SqlQuery>']
2018-04-04 16:15:53,387 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 16:15:53,388 INFO [Logger.py:47]  正则模型：['<test1>(.*?)</test1>', '<node2>(.*?)</node2>', '<node3>(.*?)</node3>']
2018-04-04 16:15:53,390 INFO [Logger.py:47]  获取参数：['<SqlQuery><Conditions><SC><SLT>0</SLT><PN>A.CLASS_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC><SC><SLT>0</SLT><PN>C.MAN_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC></Conditions><OrderString>ORDER BY A.CREATE_TIME DESC</OrderString><IsPageResult>1</IsPageResult><KeyId>A.OBJ_ID</KeyId><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy>ORDER BY A.CREATE_TIME DESC</OrderBy></PageInfo><QueryTable><TableName>BMP_OBJECT</TableName><AliasName>A</AliasName><JoinTables><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_ATTRIBCLASS</TableName><AliasName>B</AliasName></QueryTable><JoinCondition>A.CLASS_ID=B.CLASS_ID</JoinCondition></JoinTable><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName>C</AliasName></QueryTable><JoinCondition>A.NUM_VAL5=C.MAN_ID</JoinCondition></JoinTable></JoinTables></QueryTable><ResultFields>A.*,B.*,C.MAN_ID,C.MAN_NAME,C.FIELD_1 AS MODEL,(select group_concat(e.group_name) from BMP_OBJ2GROUP D left join bmp_objgroup E on D.GROUP_ID = E.GROUP_ID where D.OBJ_ID = a.obj_ID and e.group_type=1 ) as GROUP_NAME</ResultFields></SqlQuery>']
2018-04-04 16:16:31,965 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 16:16:31,966 INFO [Logger.py:47]  正则模型：['<test1>(.*?)</test1>', '<node2>(.*?)</node2>', '<node3>(.*?)</node3>']
2018-04-04 16:16:31,968 INFO [Logger.py:47]  获取参数：['<SqlQuery><Conditions><SC><SLT>0</SLT><PN>A.CLASS_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC><SC><SLT>0</SLT><PN>C.MAN_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC></Conditions><OrderString>ORDER BY A.CREATE_TIME DESC</OrderString><IsPageResult>1</IsPageResult><KeyId>A.OBJ_ID</KeyId><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy>ORDER BY A.CREATE_TIME DESC</OrderBy></PageInfo><QueryTable><TableName>BMP_OBJECT</TableName><AliasName>A</AliasName><JoinTables><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_ATTRIBCLASS</TableName><AliasName>B</AliasName></QueryTable><JoinCondition>A.CLASS_ID=B.CLASS_ID</JoinCondition></JoinTable><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName>C</AliasName></QueryTable><JoinCondition>A.NUM_VAL5=C.MAN_ID</JoinCondition></JoinTable></JoinTables></QueryTable><ResultFields>A.*,B.*,C.MAN_ID,C.MAN_NAME,C.FIELD_1 AS MODEL,(select group_concat(e.group_name) from BMP_OBJ2GROUP D left join bmp_objgroup E on D.GROUP_ID = E.GROUP_ID where D.OBJ_ID = a.obj_ID and e.group_type=1 ) as GROUP_NAME</ResultFields></SqlQuery>']
2018-04-04 16:17:18,919 INFO [Logger.py:47]  解析参数文件: F:\study\interface\data\bmpObjQuery.xml
2018-04-04 16:17:18,920 INFO [Logger.py:47]  正则模型：['<test1>(.*?)</test1>', '<node2>(.*?)</node2>', '<node3>(.*?)</node3>']
2018-04-04 16:17:18,922 INFO [Logger.py:47]  获取参数：['<SqlQuery><Conditions><SC><SLT>0</SLT><PN>A.CLASS_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC><SC><SLT>0</SLT><PN>C.MAN_ID</PN><PV></PV><SRT>0</SRT><SPT>1</SPT></SC></Conditions><OrderString>ORDER BY A.CREATE_TIME DESC</OrderString><IsPageResult>1</IsPageResult><KeyId>A.OBJ_ID</KeyId><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy>ORDER BY A.CREATE_TIME DESC</OrderBy></PageInfo><QueryTable><TableName>BMP_OBJECT</TableName><AliasName>A</AliasName><JoinTables><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_ATTRIBCLASS</TableName><AliasName>B</AliasName></QueryTable><JoinCondition>A.CLASS_ID=B.CLASS_ID</JoinCondition></JoinTable><JoinTable><JoinType>1</JoinType><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName>C</AliasName></QueryTable><JoinCondition>A.NUM_VAL5=C.MAN_ID</JoinCondition></JoinTable></JoinTables></QueryTable><ResultFields>A.*,B.*,C.MAN_ID,C.MAN_NAME,C.FIELD_1 AS MODEL,(select group_concat(e.group_name) from BMP_OBJ2GROUP D left join bmp_objgroup E on D.GROUP_ID = E.GROUP_ID where D.OBJ_ID = a.obj_ID and e.group_type=1 ) as GROUP_NAME</ResultFields></SqlQuery>']
